Distance,Speed,Lateral G,Longitudinal G
1255,112.499999,1.03016688,0.436154488
1258,113.199999,1.01925545,0.478889531
1261,114.049999,0.96854942,0.478889531
1264,115.499999,0.91655969,0.467900520
1268,117.249999,0.91463414,0.423944476
1271,118.099999,0.84852374,0.376325428
1274,120.599999,0.76765083,0.359231411
1278,121.999999,0.72528883,0.365336417
1281,123.199999,0.66238767,0.358010410
1284,125.399999,0.64441591,0.372662425
1288,126.149999,0.71501925,0.366557419
1291,126.899999,0.73234916,0.355568408
1295,129.499999,0.76508344,0.290662553
1299,129.449999,0.77021822,0.252779384
1302,131.099999,0.69191270,0.317620975
1306,132.199999,0.62580231,0.387314439
1310,133.499999,0.48844672,0.382430434
1313,135.149999,0.37163029,0.379988432
1317,136.049999,0.26123234,0.389756442
1321,137.599999,0.17394094,0.390977443
1325,138.499999,0.10975609,0.388535440
1329,139.999999,0.00130015,0.401966454
1332,141.299999,-0.15493236,0.425165477
1336,142.599999,-0.36088344,0.455690508
1340,143.899999,-0.53115433,0.470342522
1344,145.199999,-0.67754517,0.431270483
1348,145.949999,-0.76072216,0.406850459
1353,147.199999,-0.81888351,0.421502474
1357,148.399999,-0.83952140,0.428828481
1361,149.349999,-0.84577531,0.403187455
1365,149.799999,-0.87079095,0.412955465
1369,151.199999,-0.87079095,0.465458518
1373,152.349999,-0.92832691,0.455690508
1378,153.149999,-0.97835818,0.458132510
1382,154.149999,-1.06153517,0.452027504
1386,154.699999,-1.15096606,0.461795514
1390,156.299999,-1.24227313,0.475226527
1395,156.699999,-1.33670715,0.454469507
1399,157.499999,-1.38236068,0.375104427
1404,157.399999,-1.44740133,0.360452413
1408,157.599999,-1.43426812,0.422723475
1412,158.199999,-1.49180408,0.423944476
1417,158.199999,-1.56747638,0.422723475
1421,159.449999,-1.60374905,0.463016515
1426,159.899999,-1.68379908,0.475226527
1430,160.599999,-1.76072216,0.463016515
1434,160.599999,-1.77010302,0.475226527
1439,161.799999,-1.80074717,0.455690508
1443,161.349999,-1.79699483,0.453248505
1448,162.299999,-1.77010302,0.438596491
1452,161.649999,-1.80199795,0.425165477
1457,162.699999,-1.73132879,0.466679519
1461,162.799999,-1.74821434,0.421502474
1466,162.399999,-1.71069089,0.427607480
1471,163.799999,-1.66503735,0.456911509
1475,163.599999,-1.70881471,0.434933487
1480,164.599999,-1.62813929,0.442259494
1484,164.499999,-1.63814555,0.389756442
1489,164.099999,-1.53433066,0.416618469
1493,165.499999,-1.46303610,0.427607480
1498,165.199999,-1.48555017,0.397082449
1503,166.199999,-1.37860834,0.428828481
1507,166.299999,-1.37360521,0.386093438
1512,166.099999,-1.39611928,0.378767431
1516,166.999999,-1.39737006,0.432491485
1521,168.299999,-1.46491228,0.426386479
1526,168.099999,-1.52995293,0.409292461
1530,168.899999,-1.48367400,0.410513463
1535,169.949999,-1.35734505,0.395861448
1540,171.099999,-1.19599420,0.325043377
1545,170.799999,-0.96647575,0.301844354
1549,171.699999,-0.73195418,0.312833365
1554,171.899999,-0.50913399,0.298181350
